"id","time","attend","age2000","byear"
7318,2001,3,20.8333333333333,1980
7318,2002,3,20.8333333333333,1980
7318,2003,2,20.8333333333333,1980
7318,2004,1,20.8333333333333,1980
7318,2005,2,20.8333333333333,1980
7318,2006,2,20.8333333333333,1980
7318,2007,2,20.8333333333333,1980
7318,2008,3,20.8333333333333,1980
7318,2009,2,20.8333333333333,1980
7318,2010,1,20.8333333333333,1980
7319,2000,2,21,1980
7319,2001,4,21,1980
7319,2002,3,21,1980
7319,2003,4,21,1980
7319,2004,5,21,1980
7319,2005,4,21,1980
7319,2006,2,21,1980
7319,2007,3,21,1980
7319,2008,3,21,1980
7319,2009,3,21,1980
7319,2010,3,21,1980
7321,2000,6,17.1666666666667,1983
7321,2001,6,17.1666666666667,1983
7321,2002,6,17.1666666666667,1983
7321,2003,3,17.1666666666667,1983
7321,2004,3,17.1666666666667,1983
7321,2005,3,17.1666666666667,1983
7321,2006,2,17.1666666666667,1983
7321,2007,3,17.1666666666667,1983
7321,2008,2,17.1666666666667,1983
7321,2009,1,17.1666666666667,1983
7321,2010,3,17.1666666666667,1983
7322,2000,3,17.0833333333333,1983
7322,2001,3,17.0833333333333,1983
7322,2002,4,17.0833333333333,1983
7322,2003,2,17.0833333333333,1983
7322,2004,3,17.0833333333333,1983
7322,2005,4,17.0833333333333,1983
7322,2006,7,17.0833333333333,1983
7322,2007,5,17.0833333333333,1983
7322,2008,4,17.0833333333333,1983
7322,2009,3,17.0833333333333,1983
7322,2010,4,17.0833333333333,1983
7323,2000,7,17.4166666666667,1983
7323,2001,6,17.4166666666667,1983
7323,2002,7,17.4166666666667,1983
7323,2003,5,17.4166666666667,1983
7323,2004,5,17.4166666666667,1983
7323,2005,5,17.4166666666667,1983
7323,2006,6,17.4166666666667,1983
7323,2007,6,17.4166666666667,1983
7323,2008,6,17.4166666666667,1983
7323,2009,6,17.4166666666667,1983
7323,2010,5,17.4166666666667,1983
7324,2000,6,19.1666666666667,1981
7324,2001,5,19.1666666666667,1981
7324,2002,6,19.1666666666667,1981
7324,2003,6,19.1666666666667,1981
7324,2004,5,19.1666666666667,1981
7324,2005,4,19.1666666666667,1981
7324,2006,5,19.1666666666667,1981
7324,2007,6,19.1666666666667,1981
7324,2008,6,19.1666666666667,1981
7324,2009,6,19.1666666666667,1981
7324,2010,7,19.1666666666667,1981
7325,2000,3,16.5,1984
7325,2001,2,16.5,1984
7325,2002,1,16.5,1984
7325,2003,2,16.5,1984
7325,2004,2,16.5,1984
7325,2005,1,16.5,1984
7325,2006,1,16.5,1984
7325,2007,3,16.5,1984
7325,2008,2,16.5,1984
7325,2009,1,16.5,1984
7325,2010,1,16.5,1984
7326,2000,2,18.75,1982
7326,2001,1,18.75,1982
7326,2002,1,18.75,1982
7326,2003,2,18.75,1982
7326,2004,2,18.75,1982
7326,2005,1,18.75,1982
7326,2006,1,18.75,1982
7326,2007,1,18.75,1982
7326,2008,6,18.75,1982
7326,2009,3,18.75,1982
7326,2010,3,18.75,1982
7327,2000,4,16.75,1984
7327,2001,6,16.75,1984
7327,2002,6,16.75,1984
7327,2003,6,16.75,1984
7327,2004,6,16.75,1984
7327,2005,4,16.75,1984
7327,2006,3,16.75,1984
7327,2007,6,16.75,1984
7327,2008,5,16.75,1984
7327,2009,6,16.75,1984
7327,2010,2,16.75,1984
7332,2000,1,19.75,1981
7332,2001,1,19.75,1981
7332,2002,1,19.75,1981
7332,2003,1,19.75,1981
7332,2004,1,19.75,1981
7332,2005,6,19.75,1981
7332,2006,1,19.75,1981
7332,2007,6,19.75,1981
7332,2008,4,19.75,1981
7332,2009,8,19.75,1981
7332,2010,7,19.75,1981
7333,2000,6,20.5,1980
7333,2001,6,20.5,1980
7333,2002,7,20.5,1980
7333,2003,7,20.5,1980
7333,2004,6,20.5,1980
7333,2005,7,20.5,1980
7333,2006,7,20.5,1980
7333,2007,7,20.5,1980
7333,2008,6,20.5,1980
7333,2009,7,20.5,1980
7333,2010,7,20.5,1980
7335,2000,6,18.3333333333333,1982
7335,2001,2,18.3333333333333,1982
7335,2002,6,18.3333333333333,1982
7335,2003,7,18.3333333333333,1982
7335,2004,7,18.3333333333333,1982
7335,2005,6,18.3333333333333,1982
7335,2006,6,18.3333333333333,1982
7335,2007,6,18.3333333333333,1982
7335,2008,6,18.3333333333333,1982
